movie_id,predictions
27858537,0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1
27996231,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
28679286,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
33280938,0 0 0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0
33916241,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
35968313,0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0
36344884,1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0
68047,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
74848,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0
149789,1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 0
235418,0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0
526277,1 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1
1348418,1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0
1373219,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
1880660,0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
2118149,0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0
2294801,1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1
2531044,1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 1 0 1
2550894,1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0
2711278,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1
3613070,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
4213172,0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1
4290703,1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0
4453379,1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0
4852050,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
5028212,0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1
5865566,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
6980652,1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
7515161,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
9136345,0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0
9523372,1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
9550478,1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1
9880482,1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1
10640601,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
11380181,1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0
12710627,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
14656708,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
15599802,0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0
15907225,1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1
17798387,0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1
18953877,0 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 1
18967846,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 1
19408749,0 1 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1
19636496,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
20869369,0 1 0 1 1 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1
21962416,0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1
22982069,0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
23459968,1 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0
23795974,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
26351240,0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
27997835,0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1
28091621,1 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1
28299531,1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
28756111,1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0
29836849,1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
32650066,1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0
34190594,0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
34851972,0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0
35493336,1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
161882,0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
398934,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
560511,0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0
670226,0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0
883446,0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
1060187,0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0
1134373,1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0
1307956,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
2069002,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
2103388,1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
2236324,1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0
2714689,0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
3190223,0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
4469910,0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0
6724491,1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0
9020005,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
9425270,0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1
10824285,1 1 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1
13504835,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0
14401906,1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 1 0
16719327,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
16953189,1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
17062684,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0
19182579,0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1
19874156,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
19901334,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
20955005,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
21757059,0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
22406095,0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 0
24319139,0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0
25411910,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0
27359584,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
28763145,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30540674,1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0
31291014,1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0
32741807,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
33172490,0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1
33224351,0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0
34467400,0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1
34750264,1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
165794,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
1190931,0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
1202035,1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0
2300433,0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 1
3303622,1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
3610087,1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 1
5236777,1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0
5239234,0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
5385325,1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0
6324060,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
6639909,1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0
6644383,1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0
8407529,0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 0 0 1 1
10531330,0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1
10536562,1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0
10634111,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
11541829,0 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 0 0 0 1
11699620,0 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0
12100263,0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
12145390,0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1
12685170,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
13019686,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
14359104,1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0
16564257,0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0
17046096,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
18423431,0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1
19069326,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
19423428,0 0 0 1 1 1 1 0 0 0 1 1 1 0 0 1 0 0 0 1
21038272,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
21408046,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
24464878,0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1
25434917,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
26624753,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 1 0
28031209,0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0
28444311,1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
28722788,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
30408389,1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0
31332767,0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0
32091063,1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1
34040360,1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0
903383,0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
1540319,0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
1790113,1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0
2780022,0 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0
3304471,1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1
3645643,0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0
4333681,0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1
4901513,1 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 1
7214505,0 1 1 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
8422674,0 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0
8748100,1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1
8788984,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
9415844,1 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0
9461535,0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1
12532758,1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
15937192,0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1
17730252,1 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
20967001,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
21153376,0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1
21380964,1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
22558707,1 1 0 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1
22643842,1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 1 1 0
22963595,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
23946168,0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
26131098,0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0
29270619,1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0
32136365,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
34269989,0 0 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0
34311479,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0
35102018,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
217835,0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
693325,0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
709391,0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
714334,0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1
1109777,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0
1273396,1 1 0 1 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 0
1954206,0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
2980727,0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1
2999596,0 0 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 1
3777574,1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0
4845539,0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1
5443971,1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0
5984146,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0
6392570,1 0 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
6650131,1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1
11186374,1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1
14336880,1 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 0
17233268,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19451320,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
19787835,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
20194103,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
20398475,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 1
20580702,1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0
21605437,0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
21673015,0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
24399610,1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1
24589422,1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
25009958,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
30528716,1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1
31112972,1 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0
31976092,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32660977,1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1 0 1 0 1
35159749,1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1
36475779,1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0
32252,0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
61531,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0
80538,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0
142482,1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
277148,1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0
665901,0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0
702632,1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1
1343517,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
1591945,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
2107054,1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0
2280521,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0
2542946,0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
2666222,0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 0
3030423,0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0
3175826,1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0
3189853,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
3303413,0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
3906643,0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
4253806,0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0
4744688,0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1
5938502,1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0
5991505,0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
6842089,0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0
7174520,0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1
9446637,1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0
10104497,1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0
12232829,1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0
12781074,1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
13273588,1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 1 1 0 0
13650628,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
13905653,1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0
15117612,1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0
15757337,1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0
16431349,1 1 1 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1
17407591,1 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1
17767428,0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
18017583,0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0
18418904,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
18890079,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
20697583,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
22324733,1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0
23831635,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
27032867,0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
28616959,0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1
29121790,0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0
29398338,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
30084641,0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1
30864775,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
31023429,0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
31939665,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
934524,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
1142326,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
1259297,1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0
1970527,1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0
2097338,0 1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1
2288762,1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0
2763171,0 1 0 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 0 1
2951878,1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0
5336170,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
5472438,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0
7405392,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
7451262,1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 0 1 1
8139956,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
8273894,1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0
9495654,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
10217534,0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1
11575197,1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0
11916661,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
12085775,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
14538458,1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0
15706563,0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
16368206,0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1
16904577,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
17595302,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
